Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi
845000000,2,1,1,85,40,Limo
880000000,3,2,2,70,60,Cimanggis
950000000,2,1,1,98,50,Beji
1180000000,2,1,1,120,115,Tanah Baru
1500000000,4,4,0,76,130,Beji
830000000,3,2,0,90,70,Pancoran Mas
1990000000,4,3,0,90,110,Beji
2440000000,3,2,0,100,150,Beji
680000000,3,2,0,90,69,Cilodong
780000000,2,1,0,84,56,Tapos
3320000000,5,5,0,176,300,Beji
610000000,3,1,0,72,60,Cilodong
680000000,2,1,0,78,36,Cilodong
470000000,2,1,0,81,45,Cipayung
1400000000,3,2,0,77,90,Beji
165000000,2,1,1,60,36,Depok I
710000000,2,1,0,121,65,Cipayung
185000000,2,1,0,40,36,Depok I
380000000,3,2,0,60,55,Depok I
12000000000,6,5,2,900,600,Cinere
317000000,2,1,1,40,38,Depok II
4000000000,5,3,1,515,400,Cibubur
530000000,2,1,0,116,50,Cilodong
1440000000,3,2,0,94,58,Pancoran Mas
1440000000,3,2,0,200,170,Cimanggis
860000000,2,1,0,70,45,Limo
1350000000,3,3,0,90,70,Cilodong
860000000,3,1,0,66,55,Bojong Sari
2530000000,4,3,0,144,185,Beji
930000000,2,1,0,90,38,Cilodong
2350000000,3,2,1,200,120,Cinere
3000000000,6,3,4,270,250,Pancoran Mas
1510000000,3,2,0,128,81,Pancoran Mas
940000000,3,2,0,72,67,Limo
740000000,2,1,0,105,85,Limo
2330000000,3,2,0,140,145,Beji
770000000,2,1,0,104,72,Tapos
770000000,2,1,0,104,72,Cilodong
780000000,2,1,0,84,56,Cilodong
9000000000,5,6,8,500,600,Cinere
1510000000,3,2,0,128,81,Limo
600000000,3,2,2,72,65,Cilodong
1350000000,3,3,0,90,70,Pancoran Mas
780000000,2,1,1,72,45,Cimanggis
999000000,2,2,1,48,45,Mekarsari
980000000,3,2,1,106,115,Sukatani
600000000,2,1,2,75,45,Cinangka
1330000000,2,1,0,90,60,Tapos
385000000,2,1,1,55,40,Cinangka
780000000,2,1,0,85,50,Limo
1440000000,3,2,0,90,90,Pancoran Mas
400000000,1,1,1,77,42,Bojong Sari
1000000000,2,1,0,83,36,Cimanggis
610000000,2,1,0,78,50,Pancoran Mas
2600000000,3,2,2,120,140,Pangkalan Jati
450000000,2,1,0,84,60,Cilodong
950000000,3,2,0,84,114,Limo
1770000000,3,2,0,75,84,Beji
1110000000,3,2,0,90,144,Cilodong
940000000,2,1,0,72,47,Limo
1170000000,3,2,0,90,164,Cilodong
1050000000,3,2,0,72,115,Tapos
10000000000,4,3,1,389,300,Cinere
720000000,2,1,0,72,72,Pancoran Mas
720000000,2,1,0,72,65,Citayam
820000000,2,1,0,96,50,Citayam
1770000000,3,2,0,177,160,Cilodong
1660000000,4,2,0,89,101,Beji
830000000,3,2,0,90,70,Cipayung
1300000000,2,2,1,128,90,Cimanggis
5500000000,4,3,5,720,462,Cinere
4700000000,7,4,2,240,270,Sukmajaya
1300000000,5,2,1,180,120,Depok I
9500000000,5,5,3,764,450,Gandul
700000000,2,2,0,54,96,Harjamukti
895000000,2,1,1,105,45,Cimanggis
350000000,2,1,0,60,40,Citayam
650000000,2,2,1,49,60,Cimanggis
2750000000,2,1,0,207,110,Cimanggis
4750000000,20,8,1,279,400,Margonda
1300000000,3,3,1,60,150,Tanah Baru
359000000,2,1,1,60,38,Depok II
250000000,2,1,1,50,40,Citayam
18900000000,50,50,1,517,1200,Margonda
9700000000,3,1,8,926,220,Margonda
1700000000,4,4,2,144,150,Sawangan
740000000,2,1,0,84,56,Cilodong
1650000000,4,2,1,95,215,Sawangan
1650000000,4,2,1,95,215,Cinere
680000000,2,1,0,78,36,Tapos
1330000000,2,1,0,90,60,Cilodong
5500000000,4,3,1,600,400,Margonda
1350000000,4,3,2,58,140,Tanah Baru
3970000000,4,4,2,500,300,Beji
995000000,3,3,2,71,90,Cilodong
600000000,2,1,1,55,45,Sawangan
3900000000,5,3,2,500,650,Beji
1600000000,3,2,1,84,110,Cinere
1150000000,3,2,2,65,94,Krukut
1850000000,4,3,1,173,170,Cinere
3500000000,4,4,2,300,326,Cinere
2150000000,5,4,1,140,150,Cinere
2300000000,3,2,1,240,200,Cinere
1700000000,3,3,2,70,140,Cinere
3000000000,3,3,2,153,165,Tapos
450000000,2,1,1,60,45,Sawangan
4500000000,5,3,1,214,248,Grand Depok City
6000000000,4,2,0,664,250,Depok II
471000000,2,1,1,72,36,Citayam
788000000,2,2,2,50,55,Cimanggis
1400000000,4,3,2,72,80,Kukusan
1800000000,3,3,1,120,100,Cinere
720000000,3,2,1,60,65,Depok II
528000000,1,1,0,98,39,Bojong Sari
